PAGES;DMP_0.5;DMP_0.51;DMP_0.52;DMP_0.53;DMP_0.54;DMP_0.55;DMP_0.56;DMP_0.57;DMP_0.58;DMP_0.59
P_10;0,181818;0,181818;0,151515;0,151515;0,212121;0,181818;0,212121;0,181818;0,181818;0,181818
P_11;0,181818;0,151515;0,181818;0,181818;0,151515;0,151515;0,212121;0,181818;0,242424;0,181818
P_12;0,151515;0,151515;0,181818;0,151515;0,151515;0,212121;0,151515;0,151515;0,212121;0,181818
P_13;0,181818;0,151515;0,151515;0,151515;0,212121;0,181818;0,181818;0,151515;0,181818;0,151515
P_14;0,151515;0,181818;0,121212;0,151515;0,151515;0,181818;0,151515;0,121212;0,151515;0,121212
P_15;0,121212;0,121212;0,121212;0,121212;0,181818;0,181818;0,151515;0,151515;0,151515;0,151515
P_16;0,181818;0,151515;0,121212;0,181818;0,121212;0,151515;0,121212;0,181818;0,121212;0,151515
P_17;0,121212;0,151515;0,121212;0,121212;0,151515;0,121212;0,151515;0,151515;0,151515;0,181818
P_18;0,151515;0,151515;0,151515;0,121212;0,151515;0,121212;0,121212;0,121212;0,151515;0,181818
P_19;0,090909;0,151515;0,151515;0,121212;0,151515;0,090909;0,181818;0,121212;0,151515;0,151515
P_20;0,090909;0,121212;0,121212;0,151515;0,121212;0,151515;0,121212;0,090909;0,121212;0,121212
